key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1047,"Tischdekoration",2,12,255,0,5,False,True,True,True,True,True,True,True,True
1048,"Wanddekoration",2,12,255,0,6,False,True,True,True,True,True,True,True,False
1049,"Andere",2,12,255,0,7,False,False,False,False,False,False,False,True,False
1050,"",0,0,0,0,0,False,False,False,False,False,False,False,False,False
1051,"",0,0,0,0,0,False,False,False,False,False,False,False,False,False
2000,"Coerthas",10,255,50,0,9,False,True,True,True,True,True,True,True,True
2001,"Dravania",10,255,50,0,8,False,True,True,True,True,True,True,True,True
2002,"Abalathia",10,255,50,0,7,False,True,True,True,True,True,True,True,True
2003,"Gyr Abania",10,255,60,0,6,False,True,True,True,True,True,True,True,True
2004,"Othard",10,255,60,0,5,False,True,True,True,True,True,True,True,True
2005,"Norvrandt",10,255,70,0,4,False,True,True,True,True,True,True,True,True
2006,"Wiederaufbau Ishgards",11,255,1,74,1,False,True,True,True,True,True,True,True,True
2007,"Himmelsstahl-Werkzeuge",11,255,80,69384,2,False,True,True,True,True,True,True,True,True
2008,"50-70",9,255,50,67631,3,False,True,True,True,True,True,True,True,True
2009,"71-80",9,255,70,67631,2,False,True,True,True,True,True,True,True,True
2010,"Nördliche Meere / Ilsabard",10,255,80,0,3,False,True,True,True,True,True,True,True,True
2011,"Kosmos",10,255,80,69932,2,False,True,True,True,True,True,True,True,True
2012,"Unzersplitterte Welt",10,255,80,69956,1,False,True,True,True,True,True,True,True,True
2013,"81-90",9,255,80,67631,1,False,True,True,True,True,True,True,True,True
2014,"",0,255,255,0,0,False,True,True,True,True,True,True,True,True
