key,0,1,2,3,4,5,6
27,8,4,6,1,54,"Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft","Zeigt Informationen über die Freie Ge<SoftHyphen/>sell<SoftHyphen/>schaft, in der du registriert bist."
28,11,7,6,4,57,"Kontaktkreis","Zeigt alle Mitglieder all deiner Kontaktkreise an. Du kannst deinen derzeit aktiven Kontaktkreis einstellen."
29,24,5,3,2,34,"Fischer-Notizbuch","Hier können Fischer ihren Fang und die Angelstellen einer Region einsehen."
30,33,4,7,-1,66,"Tutorial-Hilfstexte","Zeigt eine Liste der bisher gesehenen Hilfstexte an."
31,25,1,2,-3,18,"Empfehlungen","Zeigt eine Liste empfohlener Aufträge, FATEs und anderer Inhalte in der Umgebung an."
32,13,1,7,-4,63,"Kundendienst / Infos","Zeigt Neuigkeiten und Informationen des Kundendienstes an. Außerdem kannst du den Kundendienst kontaktieren und Probleme melden."
33,46,5,2,1,22,"Inhaltssuche","Zeigt eine Übersicht über zugängliche Spielinhalte wie Dungeons und Gildengeheiße, jeweils mit einer kurzen Beschreibung und den Teilnahmebedingungen. An den Inhalten kannst du direkt aus der Inhaltssuche heraus teilnehmen, entweder mit einer bestehenden oder einer zufällig zu<SoftHyphen/>sammen<SoftHyphen/>gestellten Gruppe."
34,48,5,7,0,67,"Charakter<SoftHyphen/>konfiguration","Hier kannst du umfangreiche Einstellungen vornehmen, die deinen Charakter betreffen (z. B. Steuerung, Kommandomenü und Chatlog)."
35,0,0,4,1,42,"Teleport","Zeigt eine Liste der Ätheryten an, die du bereits besucht hast. Gegen eine Gebühr kannst du dich und deine Grup<SoftHyphen/>pen<SoftHyphen/>mit<SoftHyphen/>glieder dorthin teleportieren lassen."
36,0,0,4,2,43,"Rückführung","Teleportiert dich kostenlos zu dem zuvor festgelegten Heimatpunkt (oder in einem Dungeon zum Startpunkt). Einmal benutzt, kannst du diese Funktion 15 Minuten lang (Erdenzeit) nicht ausführen."
37,0,0,7,5,72,"Lizenz","Zeigt die Lizenzvereinbarung von FINAL FANTASY XIV an."
38,0,0,0,0,0,"Notizbücher","（ヘルプ無し）"
39,0,0,0,0,0,"Kontakte","（ヘルプ無し）"
40,0,0,0,0,0,"System","（ヘルプ無し）"
41,50,6,3,3,35,"Fischverzeichnis","Zeigt eine umfangreiche Übersicht über angelbare Beutetiere für Fischer."
42,49,10,1,4,10,"Mitstreiter","Zeigt Informationen über deinen Mitstreiter wie die Kommandos und Kunststücke, die er beherrscht."
43,0,0,0,0,0,"Inhalte","（ヘルプ無し）"
44,52,5,6,2,55,"Unterkünfte","Öffnet das Menü für Unterkünfte."
45,35,0,0,0,0,"Anzeige","Einstellungen für den Bildschirm, z. B. Bildschirmmodus und Gammakorrektur."
46,36,0,0,0,0,"Sound","Einstellungen für den Sound, z. B. Lautstärke."
47,37,0,0,0,0,"Grafik","Detaillierte Einstellungen für die Grafik, angepasst an die Benutzerumgebung."
48,38,0,0,0,0,"Maus","Einstellungen für die Maussteuerung."
49,39,0,0,0,0,"Controller","Einstellungen für den Controller, z. B. Vibration."
50,51,0,0,0,0,"Anderes","Weitere Einstellungen, z. B. Sprachauswahl und Speicherort für Screenshots."
51,41,0,0,0,0,"Steuerung","Einstellungen für die Steuerung, z. B. Kamera und Zielen."
52,42,0,0,0,0,"UI","Einstellungen für das User-Interface, z. B. HUD-Layout."
53,43,0,0,0,0,"Namensanzeige","Einstellungen für den Namen und andere Informationen, die über der Spielfigur angezeigt werden."
54,44,0,0,0,0,"Kommandomenü","Einstellungen für das Kommandomenü."
55,45,0,0,0,0,"Chatlog","Einstellungen für das Chatlog, z. B. Schriftgröße und Filter."
56,53,15,1,9,15,"PvP-Profil","Zeigt deine PvP-Erfolge an und lässt dich PvP-Kommandos einrichten."
57,54,2,5,1,45,"Gruppen<SoftHyphen/>suche","Führt eine Suche nach Gruppen entsprechend deinen Zielen oder der gewünschten Rolle durch."
58,55,4,5,3,47,"Geländemarkierung","Setzt Markierungen im Gelände, die nur für Gruppen- und Allianzmitglieder sichtbar sind."
59,56,6,5,5,49,"Bereitschaftsanfrage","Fragt automatisch alle Gruppen-/Allianzmitglieder, ob sie bereit sind."
60,57,8,3,5,37,"Aktuelle Agenda","Zeigt eine Liste von momentan dringend zu erledigenden Heraus<SoftHyphen/>forde<SoftHyphen/>rungen und die Vergütung dafür an. Der bereits erreichte Fortschritt wird jeden <ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>Sonntag</Case><Case(2)>Montag</Case><Case(3)>Dienstag</Case><Case(4)>Mittwoch</Case><Case(5)>Donnerstag</Case><Case(6)>Freitag</Case><Case(7)>Samstag</Case></Switch> um <If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr (Erdenzeit) zurückgesetzt."
61,58,11,1,5,11,"Reittier-Verzeichnis","Zeigt eine Liste deiner Reittiere an. Du kannst sie von hier aus auch herbeirufen."
62,59,12,1,6,12,"Begleiter-Verzeichnis","Zeigt eine Liste deiner Begleiter an. Du kannst sie von hier aus auch herbeirufen."
63,60,0,0,0,0,"Barrierefreiheit","Einstellungen zur Erleichterung der Benutzung wie etwa Visualisierung von Tönen."
64,61,2,3,-1,31,"Eorzea Incognita","Zeigt dein Reisetagebuch mit einer Liste von Orten an, die man unbedingt gesehen haben muss."
65,62,16,1,10,16,"Gold Saucer","Zeigt Informationen zum Gold Saucer an, unter anderem MGP in deinem Besitz, Glückskaktor-Ziehungen, Triple Triad-Turnierstände, Kartendecks, Trabanten-Kommandomenü und Status deines Renn-Chocobos."
66,63,5,1,-1,5,"Vermögen","Zeigt deinen momentanen Besitz an Gil und anderen Währungen an."
67,64,1,4,-3,38,"Windätherquellen","Zeigt Informationen zur Harmonisierung mit Windätherquellen an."
68,65,3,7,-2,65,"Spielanleitung","Öffnet ein Menü, um die Spielanleitung auf der offiziellen Spielerwebsite, dem Lodestone, in deinem Browser anzuzeigen."
69,67,7,3,4,36,"Orchestrion-Liste","Zeigt die Liste mit Musikstücken an, die du zum Beispiel in Gästezimmern abspielen kannst. Mit jeder Notenrolle, die du erhältst, kommt ein neuer Titel hinzu."
70,66,11,2,7,28,"Anfänger-Arena","Hier kannst du als Magier oder Krieger in speziellen Übungen die grundlegenden Kampfstrategien als Verteidiger, Angreifer und Heiler lernen."
71,68,0,0,0,0,"Gegenstände und Inventar","Öffnet ein Menü, in dem du Einstellungen für Inventar und Gegenstände vornehmen kannst."
72,69,6,2,2,23,"Raid-Suche","Hier kannst du an den neuesten Raids hoher Schwierigkeit teilnehmen. Auch unter der erforderlichen Gruppengröße kannst du automatisch in eine Gruppe mit gleichgesinnten Spielern gebracht werden."
73,70,7,5,6,50,"Countdown","Hier kannst du einen Countdown starten, der deinen Gruppen- oder Allianzmitgliedern den Kampfbeginn signalisiert."
74,71,11,6,8,61,"Gruppenverlauf","Zeigt eine Liste der Charaktere an, mit denen du in letzter Zeit in einer Gruppe gespielt hast. Du kannst diese Charaktere auf deine Freundesliste setzen."
75,72,2,4,-2,39,"Reit<SoftHyphen/>tier<SoftHyphen/>geschwindig<SoftHyphen/>keit","Zeigt für jede Region die Laufgeschwindigkeit von Reittieren an."
76,73,9,2,5,26,"Inhaltsrückblende","Spiele aufgezeichnete Rückblenden ab und schalte die Datenaufzeichnung ein oder aus."
77,74,9,1,3,9,"Chocobo-Satteltasche","Öffnet das Chocobo-Inventar. Du kannst Gegenstände aus deinem Inventar oder aus dem Gehilfeninventar in die Satteltasche legen. (Kann nicht in instanziierten Inhalten verwendet werden.)"
78,75,6,6,3,56,"PvP-Team","Zeigt Informationen zu deinem PvP-Team an."
79,76,5,5,4,48,"Bereitschaftsanfrage (Rückblende)","Fragt alle Gruppen-/Allianzmitglieder, ob sie bereit sind. Diese Bereitschaftsanfrage wird benutzt, wenn ein Inhalt für Rückblenden aufgenommen werden soll."
80,77,8,6,5,58,"Welten-Kontaktkreis","Zeigt Informationen über einen Welten-Kontaktkreis an, dem du angehörst. Du kannst auch einen eigenen Welten-Kontaktkreis erstellen und verwalten."
81,78,14,1,8,14,"Zauberbuch der Blaumagie","Zeigt alle Zauber an und wie man sie lernen kann. Erlernte Zauber können zu den aktiven Kommandos hinzugefügt und wieder entfernt werden."
82,79,8,2,4,25,"Seite an Seite","Betritt instanziierte Inhalte mit den Abbildern verbündeter NPCs."
83,80,0,0,0,0,"Farbschema","Ändert das Farbschema von Dialogfenstern."
84,81,3,4,-1,40,"FATE-Fortschritt","Zeigt Informationen über bestimmte FATEs an, z. B. die bisher erreichten Bewertungen."
85,82,9,6,6,59,"Meine Zirkel","Hier kannst du neue Zirkel gründen oder aus der Liste einen Zirkel auswählen, in dem du Mitglied bist."
86,83,2,6,-1,52,"Zirkelsuche","Zeigt eine Liste aller Zirkel an, die zur Zeit Mitglieder anwerben. Über die Liste in der Zirkelsuche kannst du diesen Zirkeln auch beitreten."
87,85,2,2,-2,19,"Kuriositäten","Zeigt einer Liste besonderer Gegenstände an, die du im Laufe deiner Abenteuer gesammelt hast."
88,84,10,2,6,27,"Neues Spiel+","Hier kannst du bereits gemeisterte Aufträge erneut spielen!"
89,86,13,1,7,13,"Modeaccessoires","Zeigt eine Liste aller verfügbaren Modeaccessoires. Von hier aus kannst du deine Modeaccessoires betrachten und bei Bedarf aktivieren."
90,87,2,7,-3,64,"Offizielle Webseiten","Zeigt eine Liste aller offiziellen FINAL FANTASY XIV-Seiten."
91,89,7,2,3,24,"Inhaltshelfer","Hier kannst du eine Gruppe befreundeter NPCs zu<SoftHyphen/>sammen<SoftHyphen/>stellen, um mit ihnen instanziierte Inhalte zu bestreiten."
92,88,4,1,-2,3,"Portraits","Erstelle und gestalte Portraits für deinen Abenteurerpass und andere Inhalte."
93,90,3,1,-3,4,"Abenteurerpass","Erstelle und gestalte dein persönliches Profil, um dich anderen vorzustellen."
