key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
8,"Mission aléatoire : donjons nv 80","Donjons nv 80","","Cette option sélectionne aléatoirement une mission parmi les donjons de niveau 80 que vous avez terminés, avec une plus grande récompense en cas de réussite.

* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour.
* Le bonus de rôle en nombre insuffisant n'est pas attribué dans le cas d'une petite équipe déjà formée.","Type de missions : donjons de niveau 80 pour petite équipe",3,0,False,True,2,False,80,80,460,0,112123,7,0,100,15,0,0,2,142,2,0,0,7,1,0,90,0,True,True,False,False,2,0,False,0,False,True
9,"Mission aléatoire : mentor","Mentor","","Cette option réservée aux personnages ayant acquis le statut de mentor de combat sélectionne aléatoirement une mission parmi celles que vous avez terminées et faisant l'objet de ce système, avec une plus grande récompense en cas de réussite.

* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour.","Type de missions : participation en tant que mentor possible",4,0,False,True,2,False,90,90,565,0,112144,8,0,30,10,0,0,10,142,1,0,0,8,1,0,30,120,True,True,False,False,2,0,False,0,False,True
10,"","","","","",0,0,False,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,False,False
11,"","","","","",0,0,False,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,False,False
12,"","","","","",0,0,False,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,False,False
13,"","","","","",0,0,False,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,False,False
14,"","","","","",0,0,False,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,False,False
15,"Mission aléatoire : raids en alliance","Raids en alliance","","Cette option sélectionne aléatoirement une mission parmi les raids en alliance (24 joueurs) auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour.","Type de missions : raids en alliance",0,0,False,True,1,False,50,50,70,0,112259,9,120,120,50,0,0,8,142,5,0,0,9,1,0,120,0,True,True,False,False,2,0,False,0,False,True
16,"","","","","",0,0,False,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,False,False
17,"Mission aléatoire : raids normaux","Raids normaux","","Cette option sélectionne aléatoirement une mission parmi les raids normaux (8 joueurs) auxquels vous avez accès, avec une plus grande récompense en cas de réussite.

* Le bonus de gils est basé sur le niveau de la classe ou du job avec lequel vous participez, et ce qui aura été reçu au cours de la mission y sera soustrait.
* La récompense de mission aléatoire est limitée à une fois par jour.","Type de missions : raids normaux (8 joueurs)",1,0,False,True,1,False,60,60,170,0,112294,10,80,60,20,0,0,9,142,3,0,0,10,1,0,90,0,True,True,False,False,2,0,False,0,False,True
18,"Course de chocobos : Route de Sagolii","Route de Sagolii","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<Indent/>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<Indent/>!

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.","",0,0,True,True,4,False,1,0,0,0,112086,0,0,0,0,0,0,32,109,23,3,8,-1,19,26,10,0,True,False,False,False,0,0,False,0,False,True
19,"Course de chocobos : Costa del Sol","Costa del Sol","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<Indent/>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<Indent/>!

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.","",0,0,True,True,4,False,1,0,0,0,112084,0,0,0,0,0,0,33,109,23,3,8,-1,19,26,10,0,True,False,False,False,0,0,False,0,False,True
20,"Course de chocobos : Sentes tranquilles","Sentes tranquilles","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<Indent/>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<Indent/>!

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.","",0,0,True,True,4,False,1,0,0,0,112085,0,0,0,0,0,0,34,109,23,3,8,-1,19,26,10,0,True,False,False,False,0,0,False,0,False,True
21,"Course de chocobos : aléatoire","Aléatoire","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<Indent/>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<Indent/>!

* La course est sé<SoftHyphen/>lec<SoftHyphen/>tion<SoftHyphen/>née aléatoirement.
* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.","",0,0,True,True,4,False,1,0,0,0,112295,0,0,0,0,0,0,31,109,23,3,8,-1,19,26,10,0,True,False,False,False,0,0,False,0,False,True
22,"Course de chocobos : Route de Sagolii (sans récompense)","Route de Sagolii (sans récompense)","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<Indent/>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<Indent/>!

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.
* Ni récompense ni points d'expérience ne sont octroyés.","",0,0,True,True,4,False,1,0,0,0,112086,0,0,0,0,0,0,36,109,23,3,8,-1,19,27,10,0,True,False,False,False,0,0,False,0,False,True
23,"Course de chocobos : Costa del Sol (sans récompense)","Costa del Sol (sans récompense)","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<Indent/>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<Indent/>!

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.
* Ni récompense ni points d'expérience ne sont octroyés.","",0,0,True,True,4,False,1,0,0,0,112084,0,0,0,0,0,0,37,109,23,3,8,-1,19,27,10,0,True,False,False,False,0,0,False,0,False,True
24,"Course de chocobos : Sentes tranquilles (sans récompense)","Sentes tranquilles (sans récompense)","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<Indent/>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<Indent/>!

* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.
* Ni récompense ni points d'expérience ne sont octroyés.","",0,0,True,True,4,False,1,0,0,0,112085,0,0,0,0,0,0,38,109,23,3,8,-1,19,27,10,0,True,False,False,False,0,0,False,0,False,True
25,"Course de chocobos : aléatoire (sans récompense)","Aléatoire (sans récompense)","","Le jockey et son fidèle chocobo de selle resserrent un peu plus leurs liens à chaque foulée. Ensemble, ils disputent une course haletante et poursuivent une même récompense<Indent/>: la gloire et l'amitié. Voilà l'essence des courses de chocobos<Indent/>!

* La course est sé<SoftHyphen/>lec<SoftHyphen/>tion<SoftHyphen/>née aléatoirement.
* La catégorie de la course sera déterminée en fonction de la cote de votre chocobo.
* Si vous vous inscrivez en équipe, la catégorie sera déterminée en fonction de la plus basse cote parmi les chocobos par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants.
* La cote d'un chocobo est ajustée si elle dépasse la valeur maximum de la catégorie dans laquelle il concourt.
* Les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants peuvent utiliser le mode de discussion Équipe pour s'envoyer des messages.
* Ni récompense ni points d'expérience ne sont octroyés.","",0,0,True,True,4,False,1,0,0,0,112295,0,0,0,0,0,0,35,109,23,3,8,-1,19,27,10,0,True,False,False,False,0,0,False,0,False,True
26,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,34,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
27,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,35,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
28,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,36,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
29,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,37,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
30,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,38,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
31,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,39,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
32,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,40,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
33,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,41,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
34,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,42,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
35,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,43,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
36,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,44,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
37,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,45,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
38,"Course de chocobos : aléatoire","Aléatoire","","","",0,0,True,False,4,False,1,0,0,0,112295,0,0,0,0,0,0,46,109,23,3,8,-1,19,0,10,0,True,False,False,False,0,0,False,0,False,True
39,"","","","","",0,0,False,False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,0,0,False,0,False,False
40,"Crystalline Conflict (partie non classée)","Partie non classée","","Crystalline Conflict, le nouveau scénario d'en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment militaire imaginé par l'Alliance éorzéenne, met en scène de petites escouades se livrant de féroces escarmouches. Il ne s'agit pas simplement de vaincre l'équipe adverse, mais d'acheminer une ressource clef unique, le cristal tactique, jusqu'à l'objectif<Indent/>; le tout dans des décors variés, fruits d'un illusionnisme de haut vol. Aux armes, combattants, la victoire se trouve au bout du chemin<Indent/>!","",0,0,False,True,3,True,30,30,0,0,112471,0,0,0,0,0,0,47,146,29,3,1,-1,6,43,5,0,False,False,False,False,0,40027,False,0,False,True
41,"Crystalline Conflict (partie classée)","Partie classée","","Crystalline Conflict, le nouveau scénario d'en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment militaire imaginé par l'Alliance éorzéenne, met en scène de petites escouades se livrant de féroces escarmouches. Il ne s'agit pas simplement de vaincre l'équipe adverse, mais d'acheminer une ressource clef unique, le cristal tactique, jusqu'à l'objectif<Indent/>; le tout dans des décors variés, fruits d'un illusionnisme de haut vol. Aux armes, combattants, la victoire se trouve au bout du chemin<Indent/>!

* Vos étoiles de victoire et vos points Crystal évolueront en fonction du résultat de la partie.
* Vos adversaires seront sélectionnés parmi des joueurs d'échelon et de palier proches.
* Les joueurs seront répartis en fonction de leur rôle, échelon, palier et points Crystal de façon à obtenir des équipes équilibrées.","",0,0,False,True,3,True,30,30,0,0,112472,0,0,0,0,0,0,48,146,29,3,1,-1,6,43,5,0,False,False,False,False,0,40030,False,0,False,False
